XYZ[0][m],XYZ[1][m],XYZ[2][m],Deviation[],Amplitude[dB],Reflectance[dB],True Color[0][],True Color[2][],True Color[3][]
-0.07875,2.59325,-0.39750,1,15.24,-16.23,33,18,1
-0.07475,2.59375,-0.39850,5,15.23,-16.56,28,15,1
-0.07475,2.59500,-0.39825,0,15.39,-16.07,33,20,1
-0.07350,2.59475,-0.39900,1,15.29,-16.17,35,20,1
-0.07250,2.59425,-0.39900,2,15.42,-16.37,28,15,1
-0.07250,2.59575,-0.39825,0,15.45,-16.34,26,14,1
-0.07575,2.59225,-0.39800,2,15.33,-16.14,31,19,1
-0.07300,2.59525,-0.39750,2,17.39,-16.25,20,0,1
-0.07900,2.59625,-0.39825,1,15.43,-16.02,31,19,1
-0.08000,2.59700,-0.39825,4,15.44,-16.38,27,14,1
-0.07275,2.59925,-0.39875,1,15.52,-16.28,28,14,1
-0.07250,2.59975,-0.39900,7,15.60,-15.84,38,18,1
-0.07300,2.59750,-0.39800,1,15.45,-16.35,27,12,1
-0.07225,2.59750,-0.39800,3,15.57,-15.88,34,19,1
-0.07175,2.59275,-0.39750,0,15.34,-16.13,31,18,1
-0.07050,2.59425,-0.39775,3,15.66,-15.81,37,20,1
-0.06650,2.59200,-0.39850,1,15.54,-16.22,28,15,1
-0.06800,2.59325,-0.39850,2,15.79,-15.68,36,17,1
-0.06525,2.59450,-0.39850,2,15.81,-15.95,31,14,1
-0.06650,2.59300,-0.39775,0,15.64,-15.83,36,17,1
-0.07100,2.59625,-0.39900,0,15.51,-16.27,28,13,1
-0.06975,2.59925,-0.39775,2,15.99,-15.45,34,19,1
-0.06700,2.59875,-0.39825,6,15.74,-15.71,38,18,1
-0.06550,2.59725,-0.39775,4,15.99,-15.46,37,17,1
-0.06425,2.59800,-0.39700,0,15.76,-15.69,38,19,1
-0.07875,2.60000,-0.39850,0,17.58,-16.06,17,1,1
-0.07825,2.60025,-0.39825,5,15.63,-15.80,33,19,1
-0.07625,2.60325,-0.39850,0,15.96,-15.86,29,14,1
-0.07675,2.60125,-0.39775,0,15.35,-16.08,34,19,1
-0.07775,2.60400,-0.39750,0,15.59,-16.24,28,13,1
-0.07675,2.60700,-0.39725,2,16.28,-15.55,27,12,1
-0.07600,2.60750,-0.39725,2,15.25,-16.15,34,19,1
-0.07475,2.60750,-0.39800,3,15.52,-15.88,38,18,1
-0.07375,2.60650,-0.39575,2,16.67,-15.15,28,13,1
-0.07250,2.60750,-0.39500,3,17.26,-14.56,28,12,1
-0.07200,2.60025,-0.39925,5,15.85,-15.95,30,14,1
-0.07025,2.60200,-0.39875,2,15.86,-15.57,38,19,1
-0.07125,2.60100,-0.39800,3,15.47,-15.96,37,18,1
-0.06950,2.60025,-0.39800,4,16.55,-15.24,30,13,1
-0.06800,2.60275,-0.39825,2,17.38,-16.26,20,0,1
-0.06625,2.60375,-0.39800,1,15.85,-15.57,39,19,1
-0.06925,2.60575,-0.39750,3,15.77,-15.64,37,18,1
-0.07075,2.60600,-0.39750,2,17.24,-16.39,20,0,1
-0.09500,2.60800,-0.39900,3,15.33,-16.06,31,19,1
-0.09525,2.61025,-0.39875,3,15.21,-16.70,26,14,1
